sampleID	label	MAG	MAG_splittedRoom	Detailed_location	Room_location	Department	Study	Time_point	Confinement	CL_MAG	sample_Trimmomatic	value
ICUt1P13_002_Xanthomonadaceae	ICUt1P13	Xanthomonadaceae	Xanthomonadaceae	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot1P83_1_R1_paired	0
ICUt1P13_003_Acinetobacter	ICUt1P13	Acinetobacter	Acinetobacter_2_1	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUt1P24_002_Propionibacterium_acnes	ICUt1P24	Cutibacterium acnes	Cutibacterium acnes_2_1	2_bed_patient_room_floor	2_bed_patient_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot1P83_1_R1_paired	1.055
ICUt1P7_001_Acinetobacter	ICUt1P7	Acinetobacter	Acinetobacter_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUt1P7_002_Propionibacterium_acnes	ICUt1P7	Cutibacterium acnes	Cutibacterium acnes_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUt3P55_003_Flavobacterium	ICUt3P55	Flavobacterium	Flavobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Flavobacterium	Trimmomatic_on_ICUot1P83_1_R1_paired	0
ICUt3P55_004_Gammaproteobacteria	ICUt3P55	Gammaproteobacterium	Gammaproteobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Gammaproteobacterium	Trimmomatic_on_ICUot1P83_1_R1_paired	0
ICUt3P55_008_Xanthomonadaceae	ICUt3P55	Xanthomonadaceae	Xanthomonadaceae	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot1P83_1_R1_paired	0
ICUt3P55_010_Weeksella_virosa	ICUt3P55	Weeksella	Weeksella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Weeksella	Trimmomatic_on_ICUot1P83_1_R1_paired	0
ICUt3P55_012_Schewanella	ICUt3P55	Shewanella	Shewanella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Shewanella	Trimmomatic_on_ICUot1P83_1_R1_paired	0
ICUt3P61_001_Bacteria	ICUt3P61	Bacteria	Bacteria	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Bacteria	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUt3P61_003_Propionibacterium_acnes	ICUt3P61	Cutibacterium acnes	Cutibacterium acnes_2_3	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot1P83_1_R1_paired	1.41
ICUot1P75_001_Xanthomonadaceae_Rep	ICUot1P75	Xanthomonadaceae	Xanthomonadaceae	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Xanthomonadaceae	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUot1P75_002_Acinetobacter_Rep	ICUot1P75	Acinetobacter	Acinetobacter_3_1	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUot1P75_003_Agrobacterium_sp_Rep	ICUot1P75	Agrobacterium sp.	Agrobacterium sp.	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Agrobacterium sp.	Trimmomatic_on_ICUot1P83_1_R1_paired	0
ICUot1P75_005_Propionibacterium_acnes	ICUot1P75	Cutibacterium acnes	Cutibacterium acnes_3_1	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Cutibacterium acnes	Trimmomatic_on_ICUot1P83_1_R1_paired	0.5
ICUot1P83_001_Acinetobacter	ICUot1P83	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot1P83_1_R1_paired	1.215
ICUot1P83_002_Actinomycetales	ICUot1P83	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot1P83_1_R1_paired	1.17
ICUot2P88_001_Xanthomonadaceae	ICUot2P88	Xanthomonadaceae	Xanthomonadaceae	Waiting_area_floor	Waiting_area	ICU	Resistome	t2	Level_3	Level_3_Xanthomonadaceae	Trimmomatic_on_ICUot1P83_1_R1_paired	1.115
ICUot2P88_002_Bacteria	ICUot2P88	Bacteria	Bacteria	Waiting_area_floor	Waiting_area	ICU	Resistome	t2	Level_3	Level_3_Bacteria	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUot2P96_001_Acinetobacter	ICUot2P96	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t2	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUot3P101_003_Bacteria	ICUot3P101	Bacteria	Bacteria	Waiting_area_floor	Waiting_area	ICU	Resistome	t3	Level_3	Level_3_Bacteria	Trimmomatic_on_ICUot1P83_1_R1_paired	1
ICUot3P109_003_Propionibacterium_acnes	ICUot3P109	Cutibacterium acnes	Cutibacterium acnes_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t3	Level_3	Level_3_Cutibacterium acnes	Trimmomatic_on_ICUot1P83_1_R1_paired	1.605
OPcombt1t2t3_001_Pseudomonas_Rep	OPcombt1t2t3	Pseudomonas	Pseudomonas	operating_room_floor	Operating_room	Surgery_Department	Resistome	t1_t2_t3_combined	Level_1	Level_1_Pseudomonas	Trimmomatic_on_ICUot2P88_1_R1_paired	1.145
ICUt1P13_002_Xanthomonadaceae	ICUt1P13	Xanthomonadaceae	Xanthomonadaceae	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot2P88_1_R1_paired	0
ICUt1P13_003_Acinetobacter	ICUt1P13	Acinetobacter	Acinetobacter_2_1	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot2P88_1_R1_paired	1
ICUt1P24_002_Propionibacterium_acnes	ICUt1P24	Cutibacterium acnes	Cutibacterium acnes_2_1	2_bed_patient_room_floor	2_bed_patient_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot2P88_1_R1_paired	1.185
ICUt1P7_001_Acinetobacter	ICUt1P7	Acinetobacter	Acinetobacter_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot2P88_1_R1_paired	1
ICUt1P7_002_Propionibacterium_acnes	ICUt1P7	Cutibacterium acnes	Cutibacterium acnes_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot2P88_1_R1_paired	1.83
ICUt3P55_003_Flavobacterium	ICUt3P55	Flavobacterium	Flavobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Flavobacterium	Trimmomatic_on_ICUot2P88_1_R1_paired	0
ICUt3P55_004_Gammaproteobacteria	ICUt3P55	Gammaproteobacterium	Gammaproteobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Gammaproteobacterium	Trimmomatic_on_ICUot2P88_1_R1_paired	0
ICUt3P55_008_Xanthomonadaceae	ICUt3P55	Xanthomonadaceae	Xanthomonadaceae	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot2P88_1_R1_paired	0
ICUt3P55_010_Weeksella_virosa	ICUt3P55	Weeksella	Weeksella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Weeksella	Trimmomatic_on_ICUot2P88_1_R1_paired	0
ICUt3P55_012_Schewanella	ICUt3P55	Shewanella	Shewanella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Shewanella	Trimmomatic_on_ICUot2P88_1_R1_paired	0
ICUt3P61_001_Bacteria	ICUt3P61	Bacteria	Bacteria	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Bacteria	Trimmomatic_on_ICUot2P88_1_R1_paired	1
ICUt3P61_003_Propionibacterium_acnes	ICUt3P61	Cutibacterium acnes	Cutibacterium acnes_2_3	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot2P88_1_R1_paired	1.79
ICUot1P75_001_Xanthomonadaceae_Rep	ICUot1P75	Xanthomonadaceae	Xanthomonadaceae	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Xanthomonadaceae	Trimmomatic_on_ICUot2P88_1_R1_paired	1
ICUot1P75_002_Acinetobacter_Rep	ICUot1P75	Acinetobacter	Acinetobacter_3_1	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P88_1_R1_paired	1
ICUot1P75_003_Agrobacterium_sp_Rep	ICUot1P75	Agrobacterium sp.	Agrobacterium sp.	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Agrobacterium sp.	Trimmomatic_on_ICUot2P88_1_R1_paired	1.13
ICUot1P75_005_Propionibacterium_acnes	ICUot1P75	Cutibacterium acnes	Cutibacterium acnes_3_1	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Cutibacterium acnes	Trimmomatic_on_ICUot2P88_1_R1_paired	0
ICUot1P83_001_Acinetobacter	ICUot1P83	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P88_1_R1_paired	1
ICUot1P83_002_Actinomycetales	ICUot1P83	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P88_1_R1_paired	1.97
ICUot2P88_001_Xanthomonadaceae	ICUot2P88	Xanthomonadaceae	Xanthomonadaceae	Waiting_area_floor	Waiting_area	ICU	Resistome	t2	Level_3	Level_3_Xanthomonadaceae	Trimmomatic_on_ICUot2P88_1_R1_paired	1.135
ICUot2P88_002_Bacteria	ICUot2P88	Bacteria	Bacteria	Waiting_area_floor	Waiting_area	ICU	Resistome	t2	Level_3	Level_3_Bacteria	Trimmomatic_on_ICUot2P88_1_R1_paired	1.14
ICUot2P96_001_Acinetobacter	ICUot2P96	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t2	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P88_1_R1_paired	1.09
ICUot3P101_003_Bacteria	ICUot3P101	Bacteria	Bacteria	Waiting_area_floor	Waiting_area	ICU	Resistome	t3	Level_3	Level_3_Bacteria	Trimmomatic_on_ICUot2P88_1_R1_paired	0.5
ICUot3P109_003_Propionibacterium_acnes	ICUot3P109	Cutibacterium acnes	Cutibacterium acnes_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t3	Level_3	Level_3_Cutibacterium acnes	Trimmomatic_on_ICUot2P88_1_R1_paired	1.59
OPcombt1t2t3_001_Pseudomonas_Rep	OPcombt1t2t3	Pseudomonas	Pseudomonas	operating_room_floor	Operating_room	Surgery_Department	Resistome	t1_t2_t3_combined	Level_1	Level_1_Pseudomonas	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUt1P13_002_Xanthomonadaceae	ICUt1P13	Xanthomonadaceae	Xanthomonadaceae	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUt1P13_003_Acinetobacter	ICUt1P13	Acinetobacter	Acinetobacter_2_1	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUt1P24_002_Propionibacterium_acnes	ICUt1P24	Cutibacterium acnes	Cutibacterium acnes_2_1	2_bed_patient_room_floor	2_bed_patient_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot2P96_1_R1_paired	1.505
ICUt1P7_001_Acinetobacter	ICUt1P7	Acinetobacter	Acinetobacter_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUt1P7_002_Propionibacterium_acnes	ICUt1P7	Cutibacterium acnes	Cutibacterium acnes_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot2P96_1_R1_paired	1.125
ICUt3P55_003_Flavobacterium	ICUt3P55	Flavobacterium	Flavobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Flavobacterium	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUt3P55_004_Gammaproteobacteria	ICUt3P55	Gammaproteobacterium	Gammaproteobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Gammaproteobacterium	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUt3P55_008_Xanthomonadaceae	ICUt3P55	Xanthomonadaceae	Xanthomonadaceae	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUt3P55_010_Weeksella_virosa	ICUt3P55	Weeksella	Weeksella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Weeksella	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUt3P55_012_Schewanella	ICUt3P55	Shewanella	Shewanella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Shewanella	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUt3P61_001_Bacteria	ICUt3P61	Bacteria	Bacteria	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Bacteria	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUt3P61_003_Propionibacterium_acnes	ICUt3P61	Cutibacterium acnes	Cutibacterium acnes_2_3	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot2P96_1_R1_paired	1.49
ICUot1P75_001_Xanthomonadaceae_Rep	ICUot1P75	Xanthomonadaceae	Xanthomonadaceae	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Xanthomonadaceae	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUot1P75_002_Acinetobacter_Rep	ICUot1P75	Acinetobacter	Acinetobacter_3_1	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUot1P75_003_Agrobacterium_sp_Rep	ICUot1P75	Agrobacterium sp.	Agrobacterium sp.	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Agrobacterium sp.	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUot1P75_005_Propionibacterium_acnes	ICUot1P75	Cutibacterium acnes	Cutibacterium acnes_3_1	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Cutibacterium acnes	Trimmomatic_on_ICUot2P96_1_R1_paired	0
ICUot1P83_001_Acinetobacter	ICUot1P83	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P96_1_R1_paired	1.33
ICUot1P83_002_Actinomycetales	ICUot1P83	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t1	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P96_1_R1_paired	1.48
ICUot2P88_001_Xanthomonadaceae	ICUot2P88	Xanthomonadaceae	Xanthomonadaceae	Waiting_area_floor	Waiting_area	ICU	Resistome	t2	Level_3	Level_3_Xanthomonadaceae	Trimmomatic_on_ICUot2P96_1_R1_paired	1.185
ICUot2P88_002_Bacteria	ICUot2P88	Bacteria	Bacteria	Waiting_area_floor	Waiting_area	ICU	Resistome	t2	Level_3	Level_3_Bacteria	Trimmomatic_on_ICUot2P96_1_R1_paired	1.04
ICUot2P96_001_Acinetobacter	ICUot2P96	Acinetobacter	Acinetobacter_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t2	Level_3	Level_3_Acinetobacter	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUot3P101_003_Bacteria	ICUot3P101	Bacteria	Bacteria	Waiting_area_floor	Waiting_area	ICU	Resistome	t3	Level_3	Level_3_Bacteria	Trimmomatic_on_ICUot2P96_1_R1_paired	1
ICUot3P109_003_Propionibacterium_acnes	ICUot3P109	Cutibacterium acnes	Cutibacterium acnes_3_2	Nurses_station_floor	Nurses_station	ICU	Resistome	t3	Level_3	Level_3_Cutibacterium acnes	Trimmomatic_on_ICUot2P96_1_R1_paired	1.075
OPcombt1t2t3_001_Pseudomonas_Rep	OPcombt1t2t3	Pseudomonas	Pseudomonas	operating_room_floor	Operating_room	Surgery_Department	Resistome	t1_t2_t3_combined	Level_1	Level_1_Pseudomonas	Trimmomatic_on_ICUot3P101_1_R1_paired	1
ICUt1P13_002_Xanthomonadaceae	ICUt1P13	Xanthomonadaceae	Xanthomonadaceae	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot3P101_1_R1_paired	0
ICUt1P13_003_Acinetobacter	ICUt1P13	Acinetobacter	Acinetobacter_2_1	Examination_room_floor	Examination_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot3P101_1_R1_paired	1
ICUt1P24_002_Propionibacterium_acnes	ICUt1P24	Cutibacterium acnes	Cutibacterium acnes_2_1	2_bed_patient_room_floor	2_bed_patient_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot3P101_1_R1_paired	1.235
ICUt1P7_001_Acinetobacter	ICUt1P7	Acinetobacter	Acinetobacter_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Acinetobacter	Trimmomatic_on_ICUot3P101_1_R1_paired	1
ICUt1P7_002_Propionibacterium_acnes	ICUt1P7	Cutibacterium acnes	Cutibacterium acnes_2_2	Isolation_room_floor	Isolation_room	ICU	Resistome	t1	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot3P101_1_R1_paired	0
ICUt3P55_003_Flavobacterium	ICUt3P55	Flavobacterium	Flavobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Flavobacterium	Trimmomatic_on_ICUot3P101_1_R1_paired	1.27
ICUt3P55_004_Gammaproteobacteria	ICUt3P55	Gammaproteobacterium	Gammaproteobacterium	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Gammaproteobacterium	Trimmomatic_on_ICUot3P101_1_R1_paired	2.765
ICUt3P55_008_Xanthomonadaceae	ICUt3P55	Xanthomonadaceae	Xanthomonadaceae	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Xanthomonadaceae	Trimmomatic_on_ICUot3P101_1_R1_paired	1.205
ICUt3P55_010_Weeksella_virosa	ICUt3P55	Weeksella	Weeksella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Weeksella	Trimmomatic_on_ICUot3P101_1_R1_paired	3.18
ICUt3P55_012_Schewanella	ICUt3P55	Shewanella	Shewanella	Isolation_room_floor	Isolation_room	ICU	Resistome	t3	Level_2	Level_2_Shewanella	Trimmomatic_on_ICUot3P101_1_R1_paired	0
ICUt3P61_001_Bacteria	ICUt3P61	Bacteria	Bacteria	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Bacteria	Trimmomatic_on_ICUot3P101_1_R1_paired	1
ICUt3P61_003_Propionibacterium_acnes	ICUt3P61	Cutibacterium acnes	Cutibacterium acnes_2_3	Examination_room_floor	Examination_room	ICU	Resistome	t3	Level_2	Level_2_Cutibacterium acnes	Trimmomatic_on_ICUot3P101_1_R1_paired	1.08
ICUot1P75_001_Xanthomonadaceae_Rep	ICUot1P75	Xanthomonadaceae	Xanthomonadaceae	Waiting_area_floor	Waiting_area	ICU	Resistome	t1	Level_3	Level_3_Xanthomonadaceae	Trimmomatic_on_ICUot3P101_1_R1_paired	0
